uid	age	gender
2382718	18-24	F
2383779	25-34	M
2385154	35-44	M
2386457	25-34	M
2389684	25-34	M
2390254	25-34	M
2393365	25-34	M
2397241	18-24	M
2397493	50-55	M
2398370	25-34	M
2399370	25-34	M
2401264	25-34	F
2403537	35-44	M
2410164	25-34	M
2417190	18-24	M
2420095	25-34	M
2420117	25-34	M
2425088	18-24	M
2427003	35-44	M
2433558	18-24	M
2435006	25-34	M
2435749	18-24	M
2438290	18-24	M
2440512	25-34	M
2441502	25-34	M
2441673	18-24	M
2445122	25-34	M
2447052	25-34	M
2447190	25-34	M
2447205	35-44	M
2455273	25-34	M
2456122	35-44	M
2457675	35-44	M
2460814	25-34	M
2461522	18-24	M
2461854	35-44	M
2462874	25-34	M
2467032	25-34	M
2468940	18-24	F
2469956	25-34	M
2472544	25-34	M
2472606	18-24	F
2476100	35-44	M
2476355	18-24	M
2477483	50-55	M
2482474	25-34	M
2482724	25-34	M
2486568	25-34	F
2492485	25-34	M
2499597	25-34	F
2504308		M
2510859	25-34	M
2512183	25-34	M
2515842	18-24	M
2520835	18-24	M
2521525	25-34	M
2528633	18-24	M
2529878	18-24	M
2533611	35-44	M
2535950	18-24	M
2541986	25-34	M
2542016	18-24	F
2542575	18-24	M
2546987	25-34	M
2549674	18-24	M
2553227	18-24	M
2554610	25-34	M
2556449	25-34	M
2560770	25-34	M
2562052	25-34	M
2565159	35-44	M
2570234	18-24	F
2571823	18-24	M
2574531	35-44	M
2577791	35-44	M
2585812	18-24	F
2589475	25-34	M
2597871	25-34	M
2600107	18-24	F
2602896	18-24	M
2603081	25-34	M
2603703	18-24	M
2607563	25-34	M
2608296	25-34	M
2610480	18-24	M
2611775	25-34	M
2612191	35-44	M
2622081	25-34	M
2630994	35-44	M
2631223	35-44	M
2633112	25-34	M
2638440	25-34	M
2642854	18-24	F
2644887	18-24	M
2645123	25-34	M
2649794	18-24	M
2657881	25-34	M
2658111	25-34	M
2658791	18-24	F
2673926	25-34	M
2675124	50-55	M
2678618	18-24	M
2678822	25-34	M
2701378	25-34	M
2703135	25-34	M
2703633	25-34	M
2707419	25-34	M
2724069	25-34	M
2727443	18-24	M
2729340	25-34	M
2733315	25-34	M
2739069	25-34	M
2744405	25-34	M
2747640	25-34	F
2747679	18-24	M
2755707	18-24	M
2755790	25-34	M
2761764	18-24	M
2763552	25-34	M
2764756	25-34	M
2768394	25-34	M
2769208	25-34	M
2770591	25-34	M
2771935	35-44	M
2773174	25-34	M
2776813	25-34	F
2777664	25-34	M
2780869	25-34	M
2788834	18-24	M
2790266	25-34	M
2801472	18-24	M
2804308	25-34	M
2804395	18-24	M
2804532	18-24	M
2810982	35-44	M
2812325	25-34	M
2813453	18-24	M
2824172	25-34	M
2833076	35-44	M
2845351	25-34	M
2848903	25-34	M
2854098	25-34	F
2868177	25-34	F
2869646	25-34	M
2870824	50-55	F
2872745	25-34	M
2880053	25-34	M
2886938	25-34	M
2899755	18-24	M
2907720	18-24	M
2909843	35-44	M
2920678	25-34	M
2923909	18-24	M
2927082	18-24	F
2927263	18-24	M
2930628	18-24	M
2931798	35-44	M
2934732	25-34	M
2946886	18-24	M
2948640	35-44	M
2953318	25-34	M
2956997		M
2974669	18-24	F
2975450	35-44	M
2979372	25-34	M
2989016	25-34	M
2991844	35-44	M
2991896	25-34	M
2997358	18-24	F
2998915	25-34	M
3002379	18-24	M
3002671	25-34	F
3003353	25-34	M
3007944	25-34	M
3028004	18-24	M
3035191	18-24	F
3035207	25-34	M
3035668	25-34	M
3043144	25-34	M
3044195	25-34	M
3051447	25-34	M
3052022	18-24	F
3053025	25-34	M
3053933	35-44	M
3059654	25-34	M
3082665	35-44	M
3089212	25-34	M
3090210	25-34	M
3096244	18-24	M
3098722	35-44	M
3103292	25-34	M
3107623	25-34	M
3109315	25-34	M
3123481	18-24	M
3126145	25-34	M
3130649	25-34	M
3137007	25-34	M
3143236	35-44	M
3145388	25-34	M
3145595	25-34	M
3148826	25-34	M
3151665	18-24	M
3155540	35-44	M
3156194	45-49	M
3159299	25-34	M
3166620	35-44	M
3174826	45-49	M
3178253	25-34	M
3187328	18-24	M
3188749	25-34	M
3190458	25-34	M
3197019	25-34	M
3197196	18-24	M
3204111	25-34	M
3207280	35-44	M
3223138	18-24	M
3224944	18-24	M
3227423	18-24	F
3235071	25-34	M
3236261	18-24	M
3239305	25-34	M
3242046	18-24	M
3245519	18-24	F
3246492	18-24	M
3254237	25-34	F
3258466	25-34	M
3259960	25-34	F
3260365	35-44	M
3264644	18-24	M
3268882	18-24	M
3272251	18-24	M
3278164	35-44	M
3288185	18-24	M
3288496	25-34	M
3301827	25-34	M
3304300	25-34	M
3306178	25-34	M
3307035	25-34	M
3313426	25-34	M
3323773		M
3325406	25-34	M
3331435	25-34	F
3332579	25-34	M
3336418	25-34	M
3341302	18-24	M
3348005	18-24	M
3350590	18-24	M
3351037	25-34	M
3358152	25-34	M
3368891	18-24	M
3381066	35-44	M
3381597	18-24	M
3385917	35-44	M
3393602	18-24	M
3395309	25-34	M
3396181	35-44	M
3397462	25-34	M
3397619	25-34	M
3399335	25-34	M
3399549	25-34	M
3400455	25-34	F
3402394	25-34	F
3403573	35-44	M
3413968	18-24	M
3418154	25-34	M
3426972	25-34	M
3430090	18-24	M
3430713	18-24	M
3432839	25-34	M
3439425	35-44	M
3441726	18-24	M
3444522	18-24	M
3457764	25-34	M
3458111	18-24	M
3461394	25-34	M
3463691	18-24	M
3465534	18-24	M
3466671	18-24	M
3471064	25-34	F
3473393	18-24	F
3474378	18-24	M
3474887	25-34	F
3478037	25-34	M
3478587	18-24	M
3480049	18-24	M
3489485	25-34	M
3489860	18-24	M
3498867	25-34	M
3500473	25-34	M
3503073	18-24	M
3509849	18-24	M
3515958	25-34	M
3520945	25-34	F
3524870	18-24	M
3533556	18-24	M
3548400	35-44	M
3555736	18-24	M
3557285	25-34	M
3558288	18-24	M
3564201	25-34	M
3570019	18-24	M
3571079	18-24	M
3574952	25-34	M
3576540	25-34	F
3581547	25-34	F
3583821	25-34	M
3595726	18-24	M
3599876	25-34	M
3603648	18-24	F
3605458	35-44	M
3608920	18-24	M
3613702	25-34	M
3615448	18-24	M
3616893	25-34	F
3619631	25-34	M
3620016	25-34	M
3625906	25-34	M
3627904	35-44	M
3628128	35-44	M
3628554	25-34	M
3628938	25-34	M
3631665	18-24	M
3649737	25-34	M
3652631	25-34	M
3660796	18-24	F
3663253	18-24	F
3664630	18-24	M
3664659	18-24	M
3670716	25-34	M
3672275	25-34	F
3680137	25-34	M
3687335	18-24	F
3688209	18-24	M
3694683	25-34	M
3695869	35-44	M
3703010	25-34	M
3711115	18-24	F
3716724	25-34	M
3734318	25-34	M
3734987	35-44	M
3742456	18-24	M
3755492	25-34	M
3755614	18-24	F
3767277	35-44	M
3767609	35-44	M
3768204	25-34	M
3776652	35-44	M
3784080	25-34	M
3789291	25-34	M
3789622	25-34	M
3789789	25-34	M
3794696	25-34	M
3794921	18-24	M
3796723	25-34	M
3798260	25-34	M
3800889	50-55	M
3801391	18-24	M
3804353	35-44	M
3815094	25-34	M
3822700	25-34	M
3831644	18-24	F
3836289	25-34	M
3837198	25-34	M
3842093	18-24	M
3846576	18-24	F
3856092	25-34	M
3870766	25-34	M
3873307	25-34	M
3888019	Under 18	M
3889481	25-34	F
3894509	18-24	M
3899270	18-24	M
3926269	18-24	M
3927713	25-34	M
3933229	18-24	M
3952951	35-44	M
3955952	25-34	M
3960795	25-34	M
3961563	18-24	M
3961662	25-34	M
3975796	18-24	M
3979635	18-24	F
3988284	25-34	M
3991313	25-34	M
3997763	18-24	M
3998103	25-34	M
4008983	25-34	F
4011470	25-34	M
4021036	25-34	M
4025188	18-24	M
4028212	25-34	M
4032296	25-34	M
4034548	18-24	M
4040048	25-34	M
4078927	25-34	F
4081624	18-24	F
4081747	18-24	M
4087599	18-24	M
4108563	25-34	M
4112590	25-34	M
4113263	18-24	M
4115698	25-34	M
4116834	35-44	M
4127879	18-24	M
4129727	18-24	M
4144771	25-34	M
4146779	25-34	M
4151936	18-24	M
4154850	18-24	M
4156146	25-34	M
4166131	18-24	M
4175289	25-34	M
4176518	25-34	M
4181235	18-24	F
4183883	25-34	M
4209678	25-34	M
4213883	18-24	M
4221137	25-34	F
4221201	18-24	F
4234911	25-34	M
4241250	25-34	M
4245290	18-24	M
4245348	25-34	M
4256404	25-34	F
4258244	18-24	M
4258669	25-34	M
4261363	18-24	F
4272616	25-34	F
4272732	45-49	M
4294882	25-34	M
4296006	18-24	F
4298951	50-55	M
4302538	25-34	M
4302833	25-34	F
4316779	25-34	M
4325258	25-34	M
4339278	25-34	M
4341877	25-34	M
4354198	25-34	F
4357192	18-24	M
4358592	25-34	M
4366063	45-49	M
4367360	25-34	M
4377536	18-24	F
4380245	35-44	M
4382100	18-24	M
4387327	25-34	M
4391858	18-24	F
4401240	35-44	M
4408155	18-24	F
4409523	18-24	M
4416630	25-34	M
4421708	35-44	M
4423444	25-34	M
4432320	18-24	M
4436097	18-24	M
4438583	25-34	M
4442715	35-44	F
4447744	18-24	M
4458248	25-34	M
4459072	25-34	F
4459554	25-34	M
4473133	25-34	M
4483739	18-24	F
4484499	35-44	M
4513220	18-24	M
4513765	35-44	M
4513833	18-24	M
4515577	18-24	M
4520742	25-34	M
4525586	18-24	M
4526849	25-34	M
4527233	18-24	F
4530700	18-24	M
4535029	18-24	M
4536882	25-34	M
4537245	25-34	M
4539782	18-24	M
4540727	25-34	M
4542667	18-24	M
4551362	35-44	M
4551617	25-34	M
4555234	25-34	M
4567404	25-34	M
4573806	25-34	F
4574715	Under 18	M
4575581	18-24	F
4578864	18-24	M
4581511	25-34	M
4590174	18-24	M
4593954	18-24	M
4596784	25-34	M
4597837	25-34	M
4598733	18-24	F
4602724	18-24	M
4603539	25-34	M
4606112	25-34	M
4612124	25-34	M
4620306	25-34	F
4620850	35-44	M
4628088	35-44	M
4630313	18-24	F
4630434	18-24	F
4630834	25-34	M
4637039	25-34	M
4638772	25-34	M
4646457	18-24	F
4647356	35-44	M
4656680	18-24	M
4661596	18-24	M
4666391	18-24	M
4670121	35-44	F
4670165	25-34	M
4674086	18-24	F
4699785	25-34	M
4701048	18-24	M
4701098	18-24	M
4701553	18-24	F
4714408	35-44	M
4723018	18-24	M
4727806	25-34	M
4729271	18-24	M
4729661	18-24	M
4734473	18-24	M
4734952	25-34	M
4735072	18-24	M
4737302	25-34	M
4738396	35-44	M
4738898	18-24	M
4741243	45-49	M
4744310	25-34	M
4749851	25-34	M
4750784	25-34	M
4751474	18-24	M
4755950	18-24	M
4761064	25-34	F
4768796	25-34	M
4778372	25-34	M
4779376	25-34	M
4783959	25-34	M
4786976	18-24	M
4788141	25-34	F
4790932	25-34	F
4794377	25-34	M
4796492	18-24	M
4808645	25-34	M
4813781	25-34	F
4829228	18-24	F
4833239	35-44	M
4839509	25-34	M
4839688	18-24	M
4841526	35-44	M
4845805	25-34	M
4846168	18-24	F
4850129	25-34	M
4850987	25-34	M
4851034	25-34	M
4854237	35-44	M
4862107	25-34	F
4864154	25-34	F
4868498	25-34	M
4879614	18-24	M
4889197	18-24	M
4893733	18-24	M
4893768	25-34	M
4895495	18-24	M
4896748	25-34	M
4907521	25-34	M
4910713	25-34	F
4920919	18-24	M
4921567	25-34	M
4922330		M
4927740	35-44	M
4929065	18-24	M
4935226	18-24	M
4936240	25-34	M
4942248	25-34	M
4946294	18-24	F
4948952	25-34	M
4951774	25-34	M
4965072	25-34	M
4970728	18-24	M
4971314	25-34	M
4972880	25-34	M
4976524	25-34	M
4981729	25-34	M
4982094	25-34	M
4987823	18-24	F
4996019	25-34	M
4996094	25-34	M
4997029	25-34	M
4997451	25-34	M
5006018	25-34	M
5009412	35-44	M
5011194	18-24	M
5014487	25-34	F
5014580	25-34	M
5017275	18-24	F
5020419	45-49	M
5023065	18-24	M
5025424	25-34	M
5049899	18-24	F
5050053	25-34	M
5051020	18-24	F
5051853	18-24	M
5060760	25-34	M
5061342	25-34	M
5063427	18-24	M
5066259	18-24	M
5069700	18-24	M
5070886	25-34	M
5078214	18-24	M
5080003	18-24	F
5081703	25-34	M
5092093	25-34	M
5093626	18-24	M
5094333	25-34	M
5095035	25-34	M
5100223	18-24	M
5101913	25-34	M
5111554	18-24	F
5116338	25-34	M
5118555	25-34	M
5122321	25-34	F
5129603	18-24	M
5136058	25-34	M
5150292	18-24	F
5152733	25-34	F
5159690	25-34	M
5171502	25-34	M
5173056	25-34	M
5174838	25-34	M
5182648	25-34	F
5193129	18-24	F
5193674	18-24	M
5195747	18-24	M
5199231	18-24	M
5204658	18-24	M
5210514	18-24	M
5218993	25-34	M
5224418	18-24	M
5228326	18-24	F
5243855	25-34	M
5245974	18-24	M
5253398	25-34	M
5258794	25-34	M
5260579	18-24	M
5260729	25-34	F
5266094	18-24	M
5266830	18-24	F
5269802	18-24	M
5270303	25-34	F
5272074	25-34	M
5278002	35-44	M
5279110	18-24	M
5280379	25-34	M
5280460	18-24	M
5283097	18-24	M
5284715	18-24	F
5285443	25-34	F
5295113	25-34	M
5295817	25-34	F
5302821	18-24	M
5303393	18-24	M
5304663	18-24	M
5305220	25-34	M
5308827	25-34	M
5309017	35-44	M
5310550		M
5313244	18-24	M
5321331	18-24	M
5325588	35-44	F
5329116	35-44	M
5329154	18-24	M
5329562	35-44	M
5332001	18-24	F
5333230	18-24	M
5337414	25-34	M
5338932	25-34	M
5342708	35-44	M
5344158	25-34	M
5346479	25-34	M
5347983	18-24	M
5353462	25-34	F
5354508	25-34	M
5360009	25-34	M
5362154	18-24	M
5367368	25-34	M
5371950	18-24	M
5376986		M
5377163	25-34	M
5390894	18-24	M
5393478	18-24	M
5402579	18-24	F
5406550	25-34	M
5410599	25-34	M
5419456	25-34	M
5424589	25-34	M
5426684	25-34	M
5428675	25-34	M
5428832	25-34	F
5434860	25-34	F
5437876	18-24	F
5438297	18-24	M
5443242	18-24	F
5445354	25-34	M
5448364	18-24	F
5448401	18-24	M
5456426	25-34	M
5458232	18-24	M
5459640	25-34	M
5460898	25-34	M
5462659	25-34	M
5467355	25-34	M
5473298	18-24	M
5480507	18-24	M
5482664	18-24	M
5483572	18-24	M
5486219	18-24	M
5487434	25-34	M
5489275	25-34	M
5502042	25-34	M
5507553	25-34	M
5509062	18-24	M
5514454	18-24	M
5515468	18-24	M
5517690	25-34	M
5518864	25-34	M
5525906	18-24	M
5527020	25-34	M
5529506	18-24	F
5530441	18-24	M
5535572	25-34	M
5535981	25-34	M
5544243	25-34	M
5545475	18-24	M
5548201	18-24	M
5549202	18-24	M
5554469		M
5556438	25-34	F
5564466	25-34	M
5566643	35-44	M
5570800	25-34	M
5571371	35-44	M
5571403	25-34	M
5572445	25-34	M
5575276	18-24	M
5577236	25-34	F
5583704	25-34	M
5592666	25-34	M
5593717	25-34	M
5602673	25-34	M
5603061	35-44	M
5604823	18-24	M
5607003	18-24	M
5610519	25-34	M
5618885	25-34	M
5633474	18-24	M
5634487	18-24	M
5635090	25-34	M
5637943	25-34	M
5649599	18-24	M
5655956	25-34	M
5657362	25-34	M
5659917	25-34	M
5663568	18-24	M
5668683	25-34	M
5686898	25-34	M
5688508	35-44	M
5691391	18-24	M
5691970	25-34	F
5694855	18-24	M
5698513	18-24	F
5704661	18-24	F
5705953	18-24	M
5706298	18-24	M
5714922	18-24	F
5723188	25-34	M
5732935	18-24	M
5733524	25-34	M
5736475	25-34	M
5737318	25-34	M
5737326	25-34	M
5740451	35-44	M
5749837	25-34	M
5751675	18-24	F
5754379	18-24	M
5771893	35-44	M
5773732	35-44	M
5775038	18-24	M
5779194	25-34	M
5787806	25-34	M
5795961	25-34	M
5797813	35-44	M
5799529	25-34	F
5816319	18-24	M
5818144	25-34	M
5819584	25-34	M
5819955	25-34	M
5820002	25-34	M
5821219	18-24	M
5824614	18-24	M
5827837	18-24	M
5828903	25-34	M
5831902	25-34	M
5838916	18-24	M
5845628	18-24	M
5848739	25-34	M
5870224	25-34	M
5873157	18-24	M
5875933	18-24	M
5879390	18-24	M
5880437	25-34	M
5890972	25-34	F
5892381	25-34	M
5892803	18-24	M
5900282		F
5904176	25-34	M
5911970	25-34	M
5912398	35-44	M
5923339	50-55	M
5932412	18-24	F
5939172	18-24	M
5940116	25-34	F
5943487	18-24	M
5945844	18-24	M
5948440	18-24	M
5950163	25-34	M
5953568	18-24	M
5959467	25-34	M
5966231	25-34	M
5972601	25-34	M
5974173	35-44	M
5979178	25-34	M
5980412	35-44	M
5982809	25-34	M
5987155	18-24	M
5998309	18-24	M
6008312	18-24	M
6013515	25-34	M
6014325	25-34	M
6014346	18-24	M
6020497	25-34	M
6025200	18-24	M
6029934	25-34	M
6030905	18-24	M
6043449	18-24	M
6049808	25-34	M
6055480	18-24	M
6055833	25-34	F
6064299	50-55	M
6064623	35-44	M
6064942	25-34	M
6068470	25-34	M
6081937	18-24	F
6085375	25-34	M
6103700	25-34	M
6113062	18-24	M
6118151	45-49	M
6120670	18-24	F
6122583	25-34	M
6122969	18-24	M
6125665	25-34	M
6126800	18-24	M
6127317	18-24	M
6129160	18-24	F
6132311	18-24	F
6134021	18-24	F
6136271	18-24	M
6138998	25-34	M
6139613	25-34	M
6146301	18-24	F
6151923	25-34	F
6157152	45-49	M
6158275	25-34	M
6159111	25-34	M
6160625		F
6168263	18-24	F
6170383	18-24	M
6174161	18-24	F
6174816	25-34	M
6178757	25-34	M
6180514	18-24	M
6182958	25-34	M
6185296	18-24	M
6188406	25-34	M
6191108	18-24	M
6195230	18-24	M
6199796	18-24	F
6206555	25-34	M
6213894	35-44	M
6215924	25-34	M
6219440	18-24	M
6219607	18-24	M
6227973	35-44	M
6230012	18-24	M
6234254	Under 18	F
6241091	35-44	M
6244099	50-55	M
6255575	25-34	M
6261389		M
6262228	25-34	M
6266672	25-34	M
6267268	25-34	M
6267506	18-24	M
6270361	18-24	M
6279741	18-24	M
6294182	25-34	M
6304123	18-24	F
6306252	18-24	M
6309920	18-24	M
6312441	35-44	M
6322976	25-34	M
6337739	18-24	M
6354859	45-49	M
6354986	18-24	M
6361582	25-34	M
6363147	35-44	M
6367098	35-44	F
6367988	18-24	M
6367995	18-24	M
6379455	25-34	M
6380812	18-24	M
6384880	18-24	M
6386267	18-24	F
6387903	25-34	M
6392684	35-44	M
6398204	Under 18	M
6398525	18-24	F
6410553	25-34	M
6411451	25-34	M
6412515	25-34	M
6418881	18-24	M
6422083	18-24	M
6426809	35-44	M
6438339	18-24	F
6444079	35-44	M
6445021	35-44	M
6448013	18-24	M
6454478	18-24	F
6472144	25-34	M
6473142	25-34	M
6480542	18-24	M
6482475	18-24	M
6496755	18-24	M
6499648	25-34	F
6502039	18-24	F
6504385	35-44	M
6504926	18-24	M
6506026	18-24	M
6511558	35-44	M
6523140	25-34	M
6545772	18-24	F
6549540	18-24	M
6566712	25-34	M
6571510	18-24	M
6575213	35-44	M
6578935	18-24	M
6586125	25-34	F
6597365	18-24	M
6617455	25-34	M
6617508	35-44	M
6619551	18-24	M
6627491	25-34	M
6636433	25-34	M
6641327	25-34	M
6653912	35-44	M
6656548	18-24	M
6664435	18-24	F
6668359	35-44	M
6678083	25-34	M
6678765	25-34	M
6698074	25-34	F
6705855	18-24	M
6708343	25-34	M
6735610	25-34	M
6738756	18-24	F
6741210	18-24	F
6754411	18-24	F
6756818	Under 18	M
6773937	18-24	M
6775984	18-24	M
6787241	18-24	M
6788206	25-34	F
6788540	25-34	M
6794287	35-44	M
6796737	25-34	F
6803447	18-24	M
6804052	35-44	M
6823315	18-24	F
6825944	18-24	M
6842032	18-24	M
6844209	18-24	M
6855473	25-34	M
6857980		F
6861374	25-34	M
6870153	25-34	M
6874863	18-24	M
6875830	25-34	M
6880995	25-34	M
6897149	25-34	M
6914889	18-24	M
6915772	35-44	F
6916046	35-44	M
6918814	18-24	F
6930573	25-34	M
6946347	25-34	M
6951312	25-34	M
6953451	25-34	M
6955283		M
6960800	25-34	M
6963662	25-34	M
6973609	25-34	M
6978019	18-24	M
6984395	25-34	M
6984589	25-34	M
6985275	18-24	M
6985948	25-34	M
6987526	18-24	M
6992664	25-34	M
7002941	18-24	M
7004146	25-34	M
7013370	25-34	M
7015216	25-34	M
7025907	25-34	M
7026348	Under 18	M
7035240	18-24	M
7050413	25-34	M
7054082	18-24	M
7055114	25-34	M
7060075	25-34	M
7063993	18-24	M
7080246	18-24	M
7111881	18-24	F
7132348	18-24	M
7133016	18-24	M
7138659	18-24	M
7140234	50-55	M
7142980	25-34	M
7153164	35-44	F
7157289	25-34	M
7166903	25-34	M
7171618	18-24	F
7186183	25-34	M
7187924	18-24	M
7196462	25-34	M
7196552	25-34	M
7200187	35-44	M
7206805	18-24	F
7213595	18-24	F
7214512	25-34	M
7216579	25-34	M
7221204	18-24	M
7223948	18-24	M
7227267	25-34	M
7231379	25-34	M
7231441	35-44	M
7239403	25-34	M
7240746	18-24	M
7251666	25-34	M
7254362	25-34	M
7264988	18-24	M
7267990	35-44	M
7268182	35-44	M
7274774	18-24	M
7277276	18-24	M
7278831	18-24	M
7281033	25-34	F
7286116	25-34	M
7297731	35-44	M
7301004	18-24	F
7321199	25-34	M
7328123	25-34	M
7335723	35-44	M
7343776	18-24	M
7343795	25-34	M
7343854	25-34	M
7346506	25-34	M
7353350	18-24	M
7353835	18-24	M
7359024	18-24	F
7378762	25-34	M
7392353	18-24	M
7399169	18-24	M
7404637	18-24	M
7415754	18-24	M
7417628	25-34	F
7436168	18-24	M
7437851	25-34	M
7441047	25-34	M
7473788	25-34	M
7535823	35-44	M
7535911	18-24	M
7543918	35-44	M
7549597	18-24	M
7558809	18-24	M
7563475	25-34	M
7569475	18-24	F
7569744	18-24	M
7571797	18-24	M
7575716	18-24	M
7577332	25-34	M
7582599	18-24	M
7592642	25-34	F
7599594	25-34	M
7607335	25-34	F
7612050	18-24	M
7613158	18-24	F
7613189	25-34	M
7617683	25-34	M
7629019	18-24	M
7632630	25-34	M
7633789	18-24	M
7636471	18-24	M
7653788	18-24	F
7656895	18-24	M
7665129	18-24	M
7665166	18-24	F
7674192	18-24	M
7685887	18-24	F
7692466	18-24	M
7694630	25-34	M
7703334	25-34	M
7704777	25-34	M
7706337	25-34	F
7710411	18-24	F
7712964	18-24	M
7713532	18-24	M
7719992	18-24	M
7720234	18-24	M
7733019	18-24	M
7780364	18-24	M
7781139	25-34	M
7788856	18-24	F
7802243	18-24	M
7804059	25-34	M
7807839	25-34	F
7812662	25-34	M
7813133	25-34	M
7835995	18-24	F
7841641	18-24	M
7851982	25-34	M
7854598	18-24	F
7858376	25-34	M
7859221	18-24	M
7864784	25-34	M
7867337	18-24	F
7869989	18-24	F
7871825	25-34	M
7873013	18-24	M
7877317	18-24	F
7880512	25-34	M
7882084	25-34	M
7883769	18-24	M
7884158	25-34	M
7887098	18-24	F
7889220	25-34	M
7891836	18-24	M
7895178	18-24	M
7911354	18-24	M
7923436	18-24	F
7923562	18-24	M
7926215	25-34	M
7926842	35-44	M
7928396	25-34	M
7942477	25-34	M
7947848	18-24	M
7954479	25-34	M
7958555	25-34	M
7972651	25-34	F
7975348	18-24	M
7976482	18-24	M
7977148	18-24	M
7977794	18-24	M
7980270	25-34	M
7983602	25-34	F
7991840	25-34	M
7995240	35-44	M
7996093	25-34	M
7996631	18-24	M
8000005	25-34	F
8021575	35-44	M
8022861	18-24	F
8043610	25-34	F
8049814	18-24	M
8052371	35-44	M
8058019	18-24	M
8061922	25-34	M
8063085	25-34	M
8066919	25-34	M
8069276	25-34	M
8069831	18-24	M
8074009	25-34	M
8091537	18-24	M
8099056	18-24	F
8099267	35-44	M
8104697	25-34	M
8112175	25-34	M
8115753	18-24	F
8120165	18-24	F
8125801	25-34	M
8128206	25-34	F
8136294	18-24	M
8143398	18-24	M
8147256	25-34	F
8156389	18-24	F
8158419	18-24	M
8160755	25-34	M
8162392	18-24	F
8165324	25-34	F
8167757	18-24	M
8171589	25-34	M
8176144	18-24	M
8176772	25-34	M
8176817	25-34	M
8176940	18-24	M
8177245	18-24	M
8185541	25-34	F
8192944	18-24	F
8207648	18-24	M
8233695	Under 18	M
8236395	18-24	M
8239783	25-34	M
8260485	35-44	M
8268780	Under 18	F
8273447	18-24	M
8296885	18-24	M
8296946	18-24	M
8299173	25-34	M
8306009	35-44	F
8323354	25-34	M
8324310	25-34	F
8326046	18-24	M
8345204	18-24	M
8364244	25-34	M
8366635	18-24	M
8376741	25-34	M
8377701	18-24	M
8387490	18-24	F
8394814	18-24	M
8400743	35-44	M
8405366	25-34	M
8414111	18-24	M
8416296	25-34	M
8416342	18-24	M
8433866	18-24	F
8439008	18-24	M
8439328	25-34	M
8449607	18-24	F
8451760	18-24	M
8458576	18-24	F
8459217	25-34	F
8471524	18-24	M
8482260	18-24	M
8482968	25-34	M
8484926	18-24	F
8495562	18-24	M
8498689	25-34	M
8507918	35-44	M
8532024	18-24	F
8537662	18-24	M
8541241	25-34	M
8543491	25-34	F
8548600	18-24	M
8553110	18-24	M
8553147	18-24	M
8559041	25-34	M
8572294	18-24	M
8576190	35-44	M
8576198	18-24	F
8583296	25-34	M
8586180	18-24	M
8590058	18-24	F
8600739	18-24	M
8604483	35-44	M
8610675	45-49	M
8614098	25-34	M
8615011	25-34	F
8630629	25-34	M
8637991	18-24	F
8646008	18-24	M
8647321	18-24	M
8652883	18-24	M
8656429	18-24	M
8662360	18-24	M
8664343	18-24	M
8666227	18-24	M
8677858	25-34	M
