entity_head	relation	entity_tail
2940	1	3962
13	1	3962
2144	1	10588
1369	1	8946
1549	1	11931
1206	1	6887
2566	1	6633
1753	1	11791
2943	1	8946
2046	1	6887
1711	1	7768
2062	1	6887
321	1	9452
236	1	11791
2324	1	4515
1775	1	6887
1626	1	6449
2338	1	11931
764	1	3962
1487	1	13801
695	1	3541
2615	1	13762
2578	1	8946
398	1	10151
171	1	5945
2982	1	8470
2173	1	6887
46	1	9452
1978	1	6887
207	1	6887
1865	1	4103
2377	1	4060
2569	1	3962
2315	1	7327
1926	1	8139
1109	1	4515
431	1	4515
1622	1	9901
728	1	10151
1813	1	3390
919	1	4334
2314	1	4515
482	1	9901
465	1	8703
2098	1	4515
1448	1	9901
397	1	11931
2526	1	13801
1741	1	3962
2855	1	6887
84	1	8946
2697	1	12595
2033	1	4515
2623	1	11156
2292	1	11791
2392	1	6887
378	1	11791
2354	1	9901
1775	1	12964
2212	1	11791
737	1	6722
2494	1	6243
502	1	11625
2782	1	3962
1152	1	8946
369	1	5835
1702	1	5334
2071	1	7329
1540	1	13801
470	1	6887
320	1	13026
957	1	8946
2798	1	13246
2251	1	4334
828	1	3390
2837	1	11621
2581	1	11517
1482	1	13519
1177	1	13801
754	1	6887
1059	1	7712
2244	1	3125
511	1	4515
1068	1	8703
2177	1	11567
2491	1	3390
989	1	3962
1183	1	11791
1785	1	8149
336	1	11772
2779	1	13801
113	1	12249
122	1	4515
1601	1	11624
347	1	11931
2505	1	11657
2087	1	6887
1320	1	7867
1028	1	6722
105	1	12249
890	1	4515
578	1	11291
1991	1	3019
2203	1	8092
1023	1	5159
2825	1	11830
929	1	4187
1287	1	5334
1171	1	6633
741	1	11791
1418	1	11791
158	1	4221
1273	1	9452
931	1	11970
812	1	8217
1640	1	10513
2951	1	6467
2333	1	9431
2501	1	13801
2642	1	7942
383	1	6633
352	1	4515
2039	1	9452
2491	1	13133
960	1	5289
2789	1	9208
2122	1	13801
2798	1	10485
1599	1	6633
761	1	10722
2973	1	6633
258	1	6633
245	1	8092
1192	1	8946
2575	1	6887
1909	1	4187
1748	1	4515
289	1	3962
2038	1	4515
603	1	11787
636	1	4334
1393	1	7215
1280	1	8820
1825	1	11791
227	1	8470
569	1	9901
967	1	7852
943	1	6633
2262	1	13354
1915	1	9901
1663	1	5334
211	1	6633
1169	1	4221
2334	1	7329
2365	1	11791
1688	1	8946
355	1	13801
233	1	8928
1842	1	10485
634	1	5430
2159	1	3390
2880	1	9901
1831	1	9901
2704	1	8946
1064	1	6633
1250	1	3390
1220	1	11931
1554	1	4309
100	1	3541
777	1	13026
2524	1	3541
2193	1	3962
456	1	4515
49	1	9452
263	1	4334
105	1	6633
71	1	11791
1265	1	9901
899	1	9222
1186	1	3390
231	1	11781
1731	1	9443
613	1	3962
453	1	8092
320	1	12964
2787	1	9326
1104	1	6887
2529	1	3390
1280	1	11791
481	1	3962
2897	1	11427
2805	1	6887
2029	1	9901
851	1	13801
1224	1	13686
2629	1	5620
772	1	13017
735	1	11270
2120	1	5334
1089	1	3182
2775	1	10509
1798	1	11931
959	1	11657
1925	1	11791
1078	1	7327
1043	1	9326
192	1	11791
889	1	6633
2552	1	11791
1110	1	11970
2317	1	13246
2065	1	10588
2790	1	7226
2568	1	3962
322	1	10151
