uid	gender	age
229	M	18-24
230	M	45-49
231	M	25-34
232	M	25-34
233	F	45-49
234	M	35-44
235	M	25-34
236	M	25-34
237	M	25-34
238	F	50-55
239	M	18-24
240	M	50-55
241	M	35-44
242	F	18-24
243	M	25-34
244	M	50-55
245	M	35-44
246	F	18-24
247	M	25-34
248	M	18-24
249	F	18-24
250	M	35-44
251	M	56+
252	M	25-34
253	F	25-34
254	M	35-44
255	M	35-44
256	M	45-49
257	M	18-24
258	M	25-34
259	M	25-34
260	M	18-24
261	M	25-34
262	F	25-34
263	F	25-34
264	M	35-44
265	F	35-44
266	M	35-44
267	M	45-49
268	F	18-24
269	M	25-34
270	M	50-55
271	M	18-24
272	M	18-24
273	M	18-24
274	M	18-24
275	M	25-34
276	M	45-49
277	F	35-44
278	M	45-49
279	M	25-34
280	M	50-55
281	F	35-44
282	M	25-34
283	M	25-34
284	M	25-34
285	F	35-44
286	M	25-34
287	M	50-55
288	F	25-34
289	F	25-34
290	F	25-34
291	M	35-44
292	M	35-44
293	M	56+
294	F	45-49
295	M	18-24
296	M	50-55
297	M	18-24
298	F	18-24
299	M	25-34
300	M	25-34
301	M	18-24
302	M	18-24
303	M	25-34
304	M	25-34
305	F	18-24
306	M	18-24
307	M	50-55
308	M	25-34
309	M	25-34
310	F	18-24
311	M	18-24
312	F	50-55
313	F	18-24
314	F	56+
315	F	56+
316	M	56+
317	M	35-44
318	F	56+
319	F	50-55
320	M	35-44
321	M	18-24
322	M	56+
323	M	45-49
324	M	35-44
325	F	50-55
326	M	50-55
327	M	35-44
328	M	35-44
329	M	35-44
330	M	56+
331	M	25-34
332	M	50-55
333	M	35-44
334	F	56+
335	M	35-44
336	M	18-24
337	M	18-24
338	M	35-44
339	M	50-55
340	F	25-34
341	F	56+
342	M	18-24
343	F	35-44
344	M	35-44
345	M	25-34
346	F	25-34
347	F	56+
348	M	50-55
349	M	Under 18
350	M	45-49
351	M	18-24
352	M	18-24
353	F	35-44
354	M	35-44
355	M	18-24
356	M	56+
357	M	18-24
358	F	56+
359	M	25-34
360	M	35-44
361	F	25-34
362	M	35-44
363	M	18-24
364	F	35-44
365	F	18-24
366	M	50-55
367	M	50-55
368	M	25-34
369	M	35-44
370	M	18-24
371	M	18-24
372	F	18-24
373	F	25-34
374	F	35-44
375	M	25-34
376	M	35-44
377	M	25-34
378	F	18-24
379	F	35-44
380	M	25-34
381	M	35-44
382	F	35-44
383	F	25-34
384	M	25-34
385	M	25-34
386	M	25-34
387	F	35-44
388	F	25-34
389	M	25-34
390	M	25-34
391	M	45-49
392	M	18-24
393	M	35-44
394	M	18-24
395	M	18-24
396	M	25-34
397	M	35-44
398	M	25-34
399	F	35-44
400	F	18-24
401	M	18-24
402	M	25-34
403	M	18-24
404	M	18-24
405	M	56+
406	M	25-34
407	M	18-24
408	M	25-34
409	M	18-24
410	F	25-34
411	F	45-49
412	M	35-44
413	M	25-34
414	M	25-34
415	F	35-44
416	M	45-49
417	F	25-34
418	F	25-34
419	M	18-24
420	M	35-44
421	F	45-49
422	M	56+
423	M	18-24
424	M	25-34
425	M	25-34
426	M	18-24
427	M	35-44
428	F	18-24
429	M	18-24
430	F	18-24
431	M	18-24
432	M	45-49
433	M	50-55
434	F	45-49
435	M	25-34
436	M	18-24
437	M	35-44
438	M	18-24
439	M	35-44
440	M	56+
441	M	35-44
442	M	25-34
443	M	25-34
444	M	56+
445	M	45-49
446	F	50-55
447	F	45-49
448	M	25-34
449	M	25-34
450	M	45-49
451	M	56+
452	M	50-55
453	M	18-24
454	M	25-34
455	F	35-44
456	M	35-44
457	M	18-24
458	M	50-55
459	F	18-24
460	M	45-49
461	M	50-55
462	M	18-24
463	M	25-34
464	F	18-24
465	M	18-24
466	M	25-34
467	F	35-44
468	F	Under 18
469	M	35-44
470	F	Under 18
471	M	35-44
472	M	35-44
473	F	18-24
474	M	25-34
475	F	25-34
476	M	35-44
477	M	35-44
478	M	50-55
479	M	25-34
480	F	18-24
481	M	45-49
482	M	25-34
483	M	18-24
484	F	Under 18
485	M	56+
486	M	56+
487	F	35-44
488	M	25-34
489	M	18-24
490	M	Under 18
491	M	18-24
492	M	25-34
493	M	50-55
494	F	35-44
495	M	18-24
496	M	18-24
497	F	25-34
498	M	35-44
499	F	25-34
500	F	18-24
501	M	25-34
502	M	35-44
503	M	35-44
504	M	25-34
505	M	35-44
506	M	25-34
507	F	25-34
508	M	25-34
509	M	25-34
510	M	18-24
511	F	45-49
512	M	35-44
513	M	25-34
514	M	25-34
515	M	25-34
516	F	56+
517	F	25-34
518	F	35-44
519	F	35-44
520	F	35-44
521	M	56+
522	M	25-34
523	M	50-55
524	M	18-24
525	M	35-44
526	M	45-49
527	F	25-34
528	F	18-24
529	M	35-44
530	M	25-34
531	F	18-24
532	M	25-34
533	M	25-34
534	M	25-34
535	M	35-44
536	M	25-34
537	M	45-49
538	M	56+
539	M	25-34
540	M	18-24
541	F	18-24
542	M	18-24
543	M	25-34
544	M	35-44
545	M	35-44
546	F	25-34
547	M	35-44
548	F	35-44
549	M	25-34
550	M	45-49
551	M	35-44
552	M	50-55
553	M	25-34
554	M	25-34
555	M	18-24
556	F	25-34
557	M	56+
558	M	35-44
559	F	25-34
560	M	45-49
561	F	18-24
562	M	35-44
563	M	25-34
564	M	45-49
565	M	25-34
566	M	25-34
567	M	35-44
568	F	50-55
569	F	18-24
570	M	25-34
571	M	50-55
572	M	18-24
573	F	35-44
574	M	25-34
575	M	25-34
576	F	45-49
577	M	35-44
578	M	18-24
579	M	25-34
580	M	Under 18
581	M	50-55
582	M	18-24
583	F	25-34
584	F	25-34
585	M	18-24
586	M	35-44
587	M	25-34
588	F	25-34
589	M	18-24
590	F	35-44
591	M	25-34
592	M	18-24
593	F	50-55
594	F	56+
595	M	25-34
596	F	25-34
597	M	35-44
598	M	35-44
599	M	50-55
600	M	35-44
601	F	18-24
602	F	56+
603	F	25-34
604	M	45-49
605	F	18-24
606	F	Under 18
607	M	25-34
608	M	18-24
609	M	25-34
610	M	25-34
611	M	35-44
612	M	50-55
613	M	35-44
614	M	35-44
615	M	50-55
616	M	25-34
617	F	25-34
618	M	25-34
619	F	18-24
620	M	18-24
621	M	18-24
622	M	25-34
623	M	25-34
624	M	25-34
625	F	35-44
626	M	18-24
627	M	50-55
628	F	35-44
629	F	Under 18
630	F	35-44
631	M	35-44
632	M	45-49
633	M	25-34
634	F	Under 18
635	M	56+
636	M	18-24
637	M	35-44
638	M	25-34
639	M	45-49
640	M	18-24
641	F	35-44
642	F	35-44
643	M	25-34
644	M	25-34
645	M	35-44
646	M	35-44
647	M	35-44
648	F	25-34
649	M	25-34
650	M	25-34
651	M	35-44
652	M	18-24
653	M	56+
654	M	50-55
655	F	25-34
656	F	45-49
657	F	50-55
658	F	25-34
659	F	25-34
660	M	45-49
661	M	45-49
662	M	18-24
663	F	25-34
664	M	35-44
665	M	18-24
666	F	18-24
667	M	25-34
668	F	25-34
669	M	25-34
670	M	25-34
671	M	18-24
672	M	35-44
673	M	25-34
674	M	25-34
675	M	25-34
676	M	18-24
677	M	50-55
678	M	25-34
679	M	35-44
680	M	25-34
681	M	35-44
682	M	25-34
683	M	25-34
684	M	25-34
685	M	25-34
686	M	18-24
687	F	25-34
688	M	56+
689	F	50-55
690	M	25-34
691	M	35-44
692	F	25-34
693	M	35-44
694	M	18-24
695	F	18-24
696	M	25-34
697	F	50-55
698	M	18-24
699	M	18-24
700	M	50-55
701	F	18-24
702	M	35-44
703	F	56+
704	F	35-44
705	M	25-34
706	M	35-44
707	M	35-44
708	M	25-34
709	M	18-24
710	M	25-34
711	M	25-34
712	M	25-34
713	M	35-44
714	M	18-24
715	M	18-24
716	M	18-24
717	M	25-34
718	M	18-24
719	M	Under 18
720	M	18-24
721	F	35-44
722	M	25-34
723	M	25-34
724	M	50-55
725	M	56+
726	F	25-34
727	M	35-44
728	M	25-34
729	M	35-44
730	M	25-34
731	M	45-49
732	M	25-34
733	M	35-44
734	M	25-34
735	M	25-34
736	M	18-24
737	M	Under 18
738	M	18-24
739	M	35-44
740	M	25-34
741	M	25-34
742	M	18-24
743	F	Under 18
744	M	25-34
745	M	Under 18
746	F	18-24
747	M	18-24
748	M	25-34
749	M	35-44
750	F	35-44
751	F	25-34
752	F	25-34
753	M	Under 18
754	M	35-44
755	F	35-44
756	M	35-44
757	M	25-34
758	M	35-44
759	F	56+
760	M	56+
761	M	18-24
762	M	Under 18
763	M	18-24
764	M	18-24
765	M	25-34
766	F	25-34
767	M	25-34
768	M	25-34
769	M	45-49
770	M	18-24
771	F	50-55
772	M	18-24
773	M	25-34
774	M	18-24
775	M	Under 18
776	F	25-34
777	M	18-24
778	M	18-24
779	M	25-34
780	M	25-34
781	M	18-24
782	M	56+
783	M	25-34
784	M	18-24
785	M	18-24
786	M	25-34
787	M	18-24
788	M	25-34
789	M	18-24
790	M	25-34
791	M	35-44
792	M	25-34
793	F	35-44
794	M	50-55
795	F	35-44
796	M	50-55
797	F	50-55
798	F	25-34
799	F	25-34
800	F	35-44
801	F	25-34
802	M	25-34
803	M	18-24
804	M	25-34
805	M	35-44
806	M	35-44
807	M	18-24
808	M	25-34
809	M	25-34
810	M	25-34
811	M	50-55
812	M	25-34
813	M	18-24
814	F	18-24
815	M	25-34
816	M	45-49
817	M	18-24
818	M	18-24
819	M	35-44
820	M	35-44
821	M	18-24
822	F	25-34
823	M	25-34
824	M	35-44
825	M	56+
826	F	35-44
827	M	45-49
828	M	18-24
829	M	Under 18
830	M	35-44
831	F	45-49
832	M	18-24
833	M	35-44
834	F	35-44
835	M	56+
836	M	25-34
837	M	56+
838	M	50-55
839	M	25-34
840	F	25-34
841	F	50-55
842	F	18-24
843	M	25-34
844	M	25-34
845	F	18-24
846	M	25-34
847	F	25-34
848	M	25-34
849	M	25-34
850	M	35-44
851	M	18-24
852	M	25-34
853	M	25-34
854	F	25-34
855	F	18-24
856	F	45-49
857	M	35-44
858	M	35-44
859	M	25-34
860	M	18-24
861	M	25-34
862	M	35-44
863	M	25-34
864	F	25-34
865	M	35-44
866	M	Under 18
867	M	45-49
868	M	50-55
869	M	18-24
870	F	25-34
871	M	Under 18
872	M	50-55
873	M	56+
874	M	45-49
875	M	Under 18
876	M	25-34
877	M	25-34
878	M	18-24
879	M	45-49
880	M	35-44
881	M	18-24
882	M	18-24
883	F	35-44
884	M	Under 18
885	M	35-44
886	F	56+
887	F	56+
888	F	Under 18
889	M	45-49
890	M	18-24
891	M	25-34
892	M	35-44
893	F	50-55
894	M	18-24
895	M	50-55
896	M	18-24
897	M	25-34
898	M	25-34
899	F	25-34
900	F	56+
901	F	56+
902	M	56+
903	M	56+
904	M	35-44
905	F	45-49
906	M	Under 18
907	F	45-49
908	F	50-55
909	M	45-49
910	F	50-55
911	M	50-55
912	F	35-44
913	M	25-34
914	F	35-44
915	M	25-34
916	F	25-34
917	M	50-55
918	F	45-49
919	F	35-44
920	M	18-24
921	M	25-34
922	M	56+
923	M	25-34
924	M	50-55
925	F	35-44
926	M	Under 18
927	F	25-34
928	F	56+
929	M	25-34
930	M	25-34
931	F	56+
932	F	35-44
933	M	45-49
934	F	35-44
935	M	35-44
936	M	18-24
937	M	25-34
938	F	25-34
939	F	25-34
940	M	Under 18
941	M	18-24
942	F	50-55
943	F	45-49
944	M	35-44
945	M	45-49
946	M	35-44
947	M	18-24
948	M	56+
949	M	50-55
950	M	35-44
951	M	45-49
952	M	56+
953	M	50-55
954	F	25-34
955	F	50-55
956	M	35-44
957	M	35-44
958	M	35-44
959	M	50-55
960	M	Under 18
961	M	18-24
962	F	25-34
963	M	25-34
964	M	25-34
965	M	56+
966	M	56+
967	F	18-24
968	M	50-55
969	F	25-34
970	M	25-34
971	M	25-34
972	M	45-49
973	F	25-34
974	M	35-44
975	M	35-44
976	M	35-44
977	M	25-34
978	M	18-24
979	M	Under 18
980	M	25-34
981	M	25-34
982	F	25-34
983	F	25-34
984	M	50-55
985	M	25-34
986	F	56+
987	F	35-44
988	M	50-55
989	M	50-55
990	M	18-24
991	F	25-34
992	F	35-44
993	M	25-34
994	M	18-24
995	F	18-24
996	M	25-34
997	M	Under 18
998	M	45-49
999	M	25-34
1000	F	25-34
1001	M	25-34
1002	M	50-55
1003	M	25-34
1004	M	25-34
1005	M	35-44
1006	M	18-24
1007	M	50-55
1008	M	35-44
1009	M	50-55
1010	M	25-34
1011	M	25-34
1012	F	35-44
1013	M	56+
1014	F	45-49
1015	M	35-44
1016	M	56+
1017	M	35-44
1018	M	18-24
1019	M	35-44
1020	M	18-24
1021	M	35-44
1022	M	25-34
1023	M	56+
1024	F	35-44
1025	M	25-34
1026	F	45-49
1027	M	18-24
1028	F	45-49
1029	M	25-34
1030	M	25-34
1031	M	35-44
1032	M	50-55
1033	M	25-34
1034	F	35-44
1035	M	18-24
1036	M	35-44
1037	M	45-49
1038	F	56+
1039	F	35-44
1040	M	25-34
1041	M	45-49
1042	M	35-44
1043	F	50-55
1044	M	25-34
1045	F	Under 18
1046	M	56+
1047	M	18-24
1048	M	35-44
1049	M	45-49
1050	M	25-34
1051	F	25-34
1052	F	35-44
1053	M	35-44
1054	M	Under 18
1055	M	35-44
1056	M	Under 18
1057	M	45-49
1058	M	25-34
1059	F	25-34
1060	M	18-24
1061	M	45-49
1062	M	50-55
1063	M	35-44
1064	M	25-34
1065	F	25-34
1066	M	45-49
1067	M	35-44
1068	F	18-24
1069	M	25-34
1070	F	45-49
1071	M	50-55
1072	F	35-44
1073	F	25-34
1074	M	45-49
1075	F	25-34
1076	F	25-34
1077	M	25-34
1078	F	45-49
1079	M	25-34
1080	M	56+
1081	M	18-24
1082	M	45-49
1083	M	56+
1084	M	Under 18
1085	M	25-34
1086	M	18-24
1087	M	25-34
1088	F	Under 18
1089	M	35-44
1090	M	25-34
1091	M	18-24
1092	F	18-24
1093	M	50-55
1094	F	18-24
1095	F	56+
1096	M	Under 18
1097	M	18-24
1098	M	35-44
1099	M	25-34
1100	M	25-34
1101	M	35-44
1102	M	18-24
1103	F	45-49
1104	M	35-44
1105	M	35-44
1106	M	18-24
1107	F	50-55
1108	M	56+
1109	M	18-24
1110	F	56+
1111	F	50-55
1112	M	18-24
1113	M	18-24
1114	F	18-24
1115	F	25-34
1116	M	25-34
1117	M	18-24
1118	M	50-55
1119	M	35-44
1120	M	18-24
1121	M	56+
1122	M	56+
1123	M	50-55
1124	M	25-34
1125	F	18-24
1126	M	56+
1127	M	25-34
1128	M	25-34
1129	M	35-44
1130	M	18-24
1131	M	56+
1132	M	18-24
1133	M	18-24
1134	M	18-24
1135	M	50-55
1136	F	35-44
1137	M	18-24
1138	M	18-24
1139	M	25-34
1140	F	45-49
1141	F	25-34
1142	M	18-24
1143	M	50-55
1144	M	25-34
1145	M	50-55
1146	F	18-24
1147	M	25-34
1148	M	35-44
1149	M	25-34
1150	F	25-34
1151	M	25-34
1152	M	18-24
1153	M	18-24
1154	F	Under 18
1155	M	25-34
1156	F	50-55
1157	M	45-49
1158	F	35-44
1159	M	18-24
1160	M	18-24
1161	M	25-34
1162	F	35-44
1163	M	Under 18
1164	F	25-34
1165	M	25-34
1166	M	56+
1167	F	50-55
1168	F	25-34
1169	M	25-34
1170	M	56+
1171	M	45-49
1172	F	25-34
1173	F	25-34
1174	F	18-24
1175	F	25-34
1176	M	56+
1177	F	25-34
1178	M	56+
1179	M	50-55
1180	F	50-55
1181	M	35-44
1182	M	Under 18
1183	M	35-44
1184	F	25-34
1185	F	35-44
1186	M	18-24
1187	F	Under 18
1188	M	45-49
1189	M	25-34
1190	M	45-49
1191	F	35-44
1192	M	50-55
1193	M	25-34
1194	F	25-34
1195	F	Under 18
1196	F	18-24
1197	M	35-44
1198	M	Under 18
1199	M	50-55
1200	M	Under 18
1201	M	18-24
1202	M	35-44
1203	F	25-34
1204	M	25-34
1205	F	56+
1206	F	50-55
1207	M	50-55
1208	M	25-34
1209	M	35-44
1210	M	25-34
1211	M	18-24
1212	F	50-55
1213	M	50-55
1214	M	56+
1215	M	35-44
1216	M	25-34
1217	M	25-34
1218	M	56+
1219	M	25-34
1220	M	Under 18
1221	M	18-24
1222	M	35-44
1223	M	25-34
1224	M	50-55
1225	M	45-49
1226	M	18-24
1227	M	50-55
1228	M	25-34
1229	F	25-34
1230	M	25-34
1231	M	25-34
1232	F	18-24
1233	F	45-49
1234	M	18-24
1235	F	25-34
1236	F	25-34
1237	M	18-24
1238	F	35-44
1239	F	25-34
1240	F	18-24
1241	M	Under 18
1242	F	35-44
1243	M	35-44
1244	M	25-34
1245	M	25-34
1246	M	18-24
1247	M	35-44
1248	F	35-44
1249	M	35-44
1250	M	50-55
1251	M	25-34
1252	M	56+
1253	F	35-44
1254	F	18-24
1255	M	25-34
1256	M	25-34
1257	F	18-24
1258	M	45-49
1259	M	35-44
1260	M	25-34
1261	M	18-24
1262	M	25-34
1263	M	Under 18
1264	M	25-34
1265	F	18-24
1266	M	25-34
1267	M	25-34
1268	M	50-55
1269	F	56+
1270	M	25-34
1271	F	45-49
1272	M	18-24
1273	M	35-44
1274	M	45-49
1275	M	50-55
1276	M	35-44
1277	F	18-24
1278	M	18-24
1279	M	35-44
1280	M	Under 18
1281	M	25-34
1282	M	50-55
1283	F	18-24
1284	M	45-49
1285	M	35-44
1286	M	35-44
1287	F	50-55
1288	F	35-44
1289	M	45-49
1290	M	35-44
1291	F	35-44
1292	M	25-34
1293	M	25-34
1294	F	50-55
1295	F	35-44
1296	M	Under 18
1297	M	25-34
1298	M	35-44
1299	M	25-34
1300	M	Under 18
1301	F	25-34
1302	M	18-24
1303	M	25-34
1304	M	25-34
1305	M	45-49
1306	M	25-34
1307	M	56+
1308	M	Under 18
1309	M	25-34
1310	M	45-49
1311	M	18-24
1312	M	25-34
1313	M	18-24
1314	F	18-24
1315	M	35-44
1316	M	50-55
1317	M	45-49
1318	M	18-24
1319	F	25-34
1320	M	25-34
1321	F	25-34
1322	M	56+
1323	F	35-44
1324	M	35-44
1325	M	25-34
1326	F	25-34
1327	M	Under 18
1328	M	35-44
1329	M	18-24
1330	M	56+
1331	M	45-49
1332	M	25-34
1333	M	25-34
1334	M	50-55
1335	M	35-44
1336	F	50-55
1337	M	56+
1338	M	25-34
1339	M	35-44
1340	M	25-34
1341	M	18-24
1342	M	35-44
1343	M	35-44
1344	F	25-34
1345	F	25-34
1346	M	35-44
1347	F	18-24
1348	F	Under 18
1349	M	50-55
1350	F	35-44
1351	F	25-34
1352	M	35-44
1353	M	Under 18
1354	F	25-34
1355	F	45-49
1356	F	18-24
1357	M	45-49
1358	M	35-44
1359	M	35-44
1360	M	25-34
1361	F	25-34
1362	M	35-44
1363	M	50-55
1364	F	45-49
1365	F	Under 18
1366	M	Under 18
1367	M	25-34
1368	F	25-34
1369	M	25-34
1370	M	35-44
1371	F	50-55
1372	M	Under 18
1373	F	25-34
1374	M	50-55
1375	F	45-49
1376	F	45-49
1377	M	35-44
1378	F	45-49
1379	F	56+
1380	M	Under 18
1381	M	18-24
1382	F	45-49
1383	F	25-34
1384	M	18-24
1385	F	25-34
1386	F	25-34
1387	F	50-55
1388	M	56+
1389	M	25-34
1390	M	35-44
1391	M	35-44
1392	M	45-49
1393	M	18-24
1394	F	25-34
1395	M	25-34
1396	F	25-34
1397	M	35-44
1398	F	56+
1399	M	18-24
1400	M	25-34
1401	F	18-24
1402	M	18-24
1403	F	25-34
1404	M	50-55
1405	M	56+
1406	M	25-34
1407	F	35-44
1408	M	25-34
1409	M	18-24
1410	M	50-55
1411	M	35-44
1412	M	25-34
1413	M	18-24
1414	M	18-24
1415	M	45-49
1416	M	25-34
1417	M	35-44
1418	M	18-24
1419	F	25-34
1420	M	18-24
1421	F	Under 18
1422	M	35-44
1423	M	25-34
1424	M	35-44
1425	M	Under 18
1426	M	18-24
1427	M	25-34
1428	F	45-49
1429	F	35-44
1430	M	18-24
1431	M	56+
1432	M	35-44
1433	F	18-24
1434	F	Under 18
1435	M	25-34
1436	F	50-55
1437	M	50-55
1438	M	18-24
1439	M	35-44
1440	M	35-44
1441	M	35-44
1442	M	18-24
1443	M	35-44
1444	F	25-34
1445	M	25-34
1446	M	35-44
1447	M	18-24
1448	F	25-34
1449	M	35-44
1450	M	18-24
1451	M	35-44
1452	F	56+
1453	M	25-34
1454	M	18-24
1455	F	45-49
1456	M	25-34
1457	M	25-34
1458	M	Under 18
1459	F	25-34
1460	F	18-24
1461	F	45-49
1462	M	35-44
1463	M	50-55
1464	M	35-44
1465	M	50-55
1466	M	18-24
1467	M	25-34
1468	M	Under 18
1469	M	56+
1470	M	18-24
1471	M	25-34
1472	M	25-34
1473	M	25-34
1474	M	25-34
1475	F	25-34
1476	F	18-24
1477	F	45-49
1478	M	Under 18
1479	F	50-55
1480	M	25-34
1481	M	35-44
1482	M	25-34
1483	M	18-24
1484	M	25-34
1485	F	25-34
1486	M	25-34
1487	M	35-44
1488	M	25-34
1489	F	35-44
1490	M	50-55
1491	M	18-24
1492	M	25-34
1493	F	25-34
1494	M	25-34
1495	M	18-24
1496	M	25-34
1497	M	50-55
1498	M	18-24
1499	M	Under 18
1500	M	25-34
1501	M	25-34
1502	M	18-24
1503	M	25-34
1504	M	18-24
1505	M	50-55
1506	M	25-34
1507	M	35-44
1508	F	Under 18
1509	M	Under 18
1510	F	25-34
1511	M	35-44
1512	M	25-34
1513	F	35-44
1514	M	18-24
1515	M	25-34
1516	F	25-34
1517	M	18-24
1518	M	25-34
1519	M	18-24
1520	M	25-34
1521	F	25-34
1522	M	35-44
1523	M	25-34
1524	M	18-24
1525	F	25-34
1526	M	56+
1527	M	18-24
1528	M	25-34
1529	M	18-24
1530	M	25-34
1531	M	45-49
1532	M	18-24
1533	M	45-49
1534	M	50-55
1535	F	18-24
1536	F	35-44
1537	M	18-24
1538	M	25-34
1539	M	25-34
1540	M	45-49
1541	M	56+
1542	M	18-24
1543	M	25-34
1544	M	25-34
1545	M	25-34
1546	M	25-34
1547	M	56+
1548	M	35-44
1549	M	35-44
1550	M	18-24
1551	M	25-34
1552	M	45-49
1553	F	25-34
1554	F	35-44
1555	F	18-24
1556	M	18-24
1557	F	18-24
1558	M	18-24
1559	M	35-44
1560	F	25-34
1561	F	18-24
1562	M	18-24
1563	F	Under 18
1564	M	50-55
1565	M	45-49
1566	M	35-44
1567	M	25-34
1568	F	Under 18
1569	F	56+
1570	M	18-24
1571	M	25-34
1572	F	25-34
1573	M	Under 18
1574	M	25-34
1575	F	50-55
1576	F	45-49
1577	M	56+
1578	M	18-24
1579	M	25-34
1580	F	18-24
1581	F	18-24
1582	M	18-24
1583	M	35-44
1584	M	25-34
1585	M	56+
1586	M	45-49
1587	F	25-34
1588	M	25-34
1589	M	25-34
1590	M	35-44
1591	M	50-55
1592	M	35-44
1593	M	25-34
1594	F	35-44
1595	M	35-44
1596	F	18-24
1597	M	25-34
1598	M	35-44
1599	M	25-34
1600	M	35-44
1601	M	25-34
1602	F	25-34
1603	F	25-34
1604	M	25-34
1605	F	18-24
1606	F	35-44
1607	M	45-49
1608	M	25-34
1609	F	35-44
1610	M	25-34
1611	M	25-34
1612	M	25-34
1613	M	18-24
1614	M	35-44
1615	F	45-49
1616	M	25-34
1617	M	25-34
1618	M	50-55
1619	M	50-55
1620	M	25-34
1621	M	25-34
1622	M	18-24
1623	M	50-55
1624	M	25-34
1625	M	45-49
1626	M	18-24
1627	M	18-24
1628	M	18-24
1629	M	18-24
1630	M	45-49
1631	F	50-55
1632	M	25-34
1633	F	45-49
1634	F	56+
1635	M	25-34
1636	F	25-34
1637	M	56+
1638	F	18-24
1639	M	25-34
1640	M	35-44
1641	M	25-34
1642	M	50-55
1643	M	45-49
1644	M	18-24
1645	F	18-24
1646	M	25-34
1647	M	18-24
1648	M	50-55
1649	M	18-24
1650	M	25-34
1651	M	25-34
1652	M	25-34
1653	M	18-24
1654	F	45-49
1655	M	18-24
1656	M	25-34
1657	F	45-49
1658	F	35-44
1659	F	18-24
1660	F	25-34
1661	M	35-44
1662	M	25-34
1663	M	18-24
1664	F	18-24
1665	M	45-49
1666	M	25-34
1667	M	50-55
